SNOMED CT Code,Abbreviation
164934002,TAB_
428750005,NST_
164930006,ANEUR
251137005,DIG
111975006,LNGQT
164854000,NORM
164868007,ASMI
25488008,LVH
55827005,LVH
445118002,LAFB
37760005,LAFB
164861001,ISCAL
713426002,ILBBB
251124007,IRBBB
164902006,1AVB
270492004,1AVB
164898000,2AVB
698252002,IVCD
713427006,CRBBB
251123001,CRBBB
733534002,CLBBB
6180003,CLBBB
164871004,LMI
67741000119109,LAO/LAE
429731003,AMI
43630006,ALMI
425419005,ISCIL
164870003,INJIL
380001000004106,INJIL
445211001,LPFB
62026008,LPFB
426434006,ISCAN
425623009,ISCLA
164877000,RVH
89792004,RVH
90539001,ANEUR
67751000119106,RAO/RAE
237840007,EL
74390002,WPW
251120003,ILBBB
111027004,SEHYP
73999000,PMI
164906009,3AVB
27885002,3AVB
195042002,2AVB
164951009,ABQRS
427172004,PVC
251175005,PVC
26141007,STD_
66812002,LOWT
427212000,PAC
287057009,PAC
284470004,PAC
164947007,LPR
59931005,INVT
251235005,LVOLT
251146004,LVOLT
251234009,HVOLT
76388001,STE_
164881000,PRC(S)
426783006,SR
251150006,SR
164889003,AFIB
49436004,AFIB
427084000,STACH
11092001,STACH
427393009,SARRH
71792006,SARRH
426177001,SBRAD
49710005,SBRAD
426083000,PACE
10370003,PACE
164887001,SVARR
72654001,SVARR
297531000000107,BIGU
11157007,BIGU
164890007,AFLT
5370000,AFLT
426761007,SVTAC
6456007,SVTAC
425856008,PSVT
66657009,PSVT
297551000000100,TRIGU
251180001,TRIGU
39732003,
398002,
47665007,
233840006,IPMI
233839009,ALMI
233841005,LMI
233842003,PMI
73795002,IPLMI
62695002,ASMI
65547006,ILMI
54329005,AMI
70211005,ALMI
70422006,INJIL
58612006,LMI
76593002,IPMI
233838001,PMI
